id,domain_name,is_malicious,first_seen,last_seen,organization_id
276,mail.grace-fraser.site,1,,,6
277,webmail.grace-fraser.site,1,,,6
278,www.grace-fraser.site,1,,,6
279,webmail.earlahenry.com,1,,,6
280,www.earlahenry.com,1,,,6
281,mail.earlahenry.com,1,,,6
282,www.ruthgreenrtg.live,1,,,6
283,www.deangelomcnay.news,1,,,6
284,www.rebecca-proctor.com,1,,,6
285,cpcontacts.wayne-lashley.com,1,,,6
286,ftp.wayne-lashley.com,1,,,6
287,shop.wayne-lashley.com,1,,,6
288,webdisk.wayne-lashley.com,1,,,6
289,cpcalendars.jane-chapman.com,1,,,6
290,webmail.jane-chapman.com,1,,,6
291,www.jane-chapman.com,1,,,6
292,mail.jane-chapman.com,1,,,6
293,mail.nicholasuhl.website,1,,,6
294,www.nicholasuhl.website,1,,,6
295,a.juliansturgill.info,1,,,6
296,ns2.katesacker.club,1,,,6
297,ns4.katesacker.club,1,,,6
298,ns8.katesacker.club,1,,,6
299,ns1.katesacker.club,1,,,6
300,download.pubs.sawarim.xyz,1,,,7
301,server2.sawarim.com,1,,,7
302,download2.pubs.sawarim.com,1,,,7
303,download.pubs.sawarim.com,1,,,7
304,go.sawarim.com,1,,,7
305,download3.pubs.sawarim.com,1,,,7
306,mail.androids-app.com,1,,,7
307,www.sawar.im,1,,,7
308,www.sawarim.com,1,,,7
309,go.sawarim.net,1,,,7
310,pubs.sawarim.xyz,1,,,7
311,www.isdarats.pw,1,,,7
312,www.samd1.duckdns.org,1,,,7
313,www.sawarim.net,1,,,7
314,www.btcaes2.duckdns.org,1,,,7
315,www.da3da3.duckdns.org,1,,,7
316,www.sorry.duckdns.org,1,,,7
317,sawarim.com,1,,,7
318,sawarim.xyz,1,,,7
319,go.sawarim.xyz,1,,,7
320,pubs.sawarim.com,1,,,7
321,go.sawar.im,1,,,7
322,sawar.im,1,,,7
323,pubs.sawar.im,1,,,7
324,isdarats.com,1,,,7
325,sawarim.pw,1,,,7
326,www.sawarim.pw,1,,,7
327,www.androids-app.com,1,,,7
328,sawarim.net,1,,,7
329,snapcard.argia.co.id,1,,,7
330,androids-app.com,1,,,7
331,sooma-in-heart.dyndns.org,1,,,7
332,miracl-jewll.dyndns.org,1,,,7
333,ttdl3.dynu.net,1,,,8
334,5bb2593a.space,1,,,8
335,cc7a6992.site,1,,,8
336,69843bb8.space,1,,,8
337,709f0af9.space,1,,,8
338,bb7d5904.site,1,,,8
339,acbde077.site,1,,,8
340,42a9687b.space,1,,,8
